TAG,MODIFICATION FLAG,BIC CODE,BRANCH CODE,INSTITUTION NAME,BRANCH INFORMATION,CITY HEADING,SUBTYPE INDICATION,VALUE ADDED SERVICES,EXTRA INFO,PHYSICAL ADDRESS 1,PHYSICAL ADDRESS 2,PHYSICAL ADDRESS 3,PHYSICAL ADDRESS 4,LOCATION,COUNTRY NAME,POB NUMBER,POB LOCATION,POB COUNTRY NAME
FI,A,HLXSUSDM,XXX,Jimenez-Kline,BRANCH,South Katherine,SUPE,FINTG+,ALL,5731 Jessica Flat Apt. 859,SHOP 054,,,South Katherine,US,POB 1800,South Katherine,UNITED STATES OF AMERICA
FI,M,CNXRMXOR,XXX,Proyectos Angulo y Roybal,SHOPPING MALL,San Salma los altos,NSWB,FINSCO,PAY,Privada Arabia Saudita 198 950,,,,San Salma los altos,MX,POB 963,San Salma los altos,MEXICO
FI,M,VYZGUSOL,XXX,Carter Ltd,HQ,West Cynthia,SUPE,AIMFINTG+,ADM C4,03363 Noble Key Suite 206,SHOP 85597,,,West Cynthia,US,POB 068,West Cynthia,UNITED STATES OF AMERICA
FI,M,HUMMUSAD,XXX,Gutierrez Inc,INDUSTRIAL ESTATE,Jamesshire,NSWB,ERPFIN,ALLBRA,29620 Richardson Spring,SHOP 493,,,Jamesshire,US,POB 3771,Jamesshire,UNITED STATES OF AMERICA
FI,D,EYSCCAJ6,XXX,"Mora, Huffman and Jones",HQ,Stephenland,BEID,FINTAS,ADM C4,208 Christopher Gardens,BUILDING 514,,,Stephenland,CA,POB 67853,Stephenland,CANADA
FI,D,JTABCAOB,XXX,"Newman, Obrien and Johnson",HQ,South Stephanie,SSPA,FINTGT,DOC,247 Barr Plains,BUILDING 587,,,South Stephanie,CA,POB 054,South Stephanie,CANADA
FI,A,RZCFCAF5,XXX,"Rangel, Smith and Taylor",INDUSTRIAL ESTATE,Ashleyborough,SUPE,ERPFINTG+,CAL,466 Nelson Plaza,UNIT 6585,,,Ashleyborough,CA,POB 369,Ashleyborough,CANADA
FI,M,VOVDUSSY,XXX,"Weber, Cordova and Wang",REGIONAL OFFICE,New Cherylberg,BEID,FINSCO,DOC,5356 Rodriguez Shores,UNIT 52782,,,New Cherylberg,US,POB 52481,New Cherylberg,UNITED STATES OF AMERICA
FI,A,UVLSMXNS,XXX,Vanegas-Casanova,SHOPPING MALL,Nueva Luxemburgo,NSWB,FINTG+,ALL,"Diagonal Oaxaca 560 Edif. 223 , Depto. 195",BUILDING 783,,,Nueva Luxemburgo,MX,POB 319,Nueva Luxemburgo,MEXICO
FI,D,NAJEUSNA,XXX,Garrett and Sons,HQ,Rivasburgh,BEID,ERPFIN,ALL,633 Simpson Court,SHOP 179,,,Rivasburgh,US,POB 7021,Rivasburgh,UNITED STATES OF AMERICA
